seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
77,1,0,0,0,5,5,0,6,6,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,1.7632014164701104,1.7870657071471214,0.023864290677011013
78,2,1,1,0,10,10,0,10,10,0,1,1,0,4,4,0,4,4,0,0,0,0,0,0,0,2.1361560001969337,2.441776958294213,0.30562095809727907
79,3,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,2,2,0,1,1,0,0,0,0,1.4430955005809665,1.876901083625853,0.4338055830448866
80,0,1,1,0,10,10,0,7,7,0,1,1,0,4,4,0,5,5,0,0,0,0,0,0,0,3.5711469585075974,3.012145667336881,-0.5590012911707163
81,1,0,0,0,7,7,0,5,5,0,0,0,0,3,3,0,6,6,0,0,0,0,0,0,0,1.7096645003184676,1.72121287509799,0.011548374779522419
82,2,1,1,0,10,10,0,12,12,0,5,5,0,1,1,0,3,3,0,1,1,0,0,0,0,2.312187667004764,2.2920962907373905,-0.020091376267373562
83,3,0,0,0,5,5,0,8,8,0,3,3,0,1,1,0,4,4,0,0,0,0,0,0,0,1.765820624306798,1.7952464576810598,0.029425833374261856
84,0,0,0,0,6,6,0,13,13,0,4,4,0,1,1,0,2,2,0,0,0,0,0,0,0,2.482732250355184,2.5066823745146394,0.0239501241594553
85,1,0,0,0,8,8,0,10,10,0,5,5,0,0,0,0,1,1,0,1,1,0,0,0,0,1.6466252924874425,1.7559089995920658,0.10928370710462332
86,2,0,0,0,4,4,0,5,5,0,3,3,0,0,0,0,5,5,0,0,0,0,0,0,0,1.2771198749542236,1.2193749584257603,-0.057744916528463364
87,3,0,0,0,4,4,0,7,7,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,1.7586100827902555,1.6626119995489717,-0.0959980832412839
88,0,1,1,0,10,10,0,13,13,0,4,4,0,2,2,0,1,1,0,1,1,0,0,0,0,1.9947459176182747,2.5003208750858903,0.5055749574676156
89,1,0,0,0,6,6,0,6,6,0,4,4,0,0,0,0,7,7,0,0,0,0,0,0,0,2.6993908751755953,2.727637625299394,0.028246750123798847
90,2,0,0,0,9,9,0,7,7,0,0,0,0,4,4,0,2,2,0,0,0,0,0,0,0,2.479351207613945,3.107364750467241,0.6280135428532958
91,3,0,0,0,6,6,0,3,3,0,3,3,0,0,0,0,9,9,0,0,0,0,0,0,0,2.394247875548899,2.425885667093098,0.03163779154419899
92,0,1,1,0,11,11,0,11,14,3,5,5,0,2,2,0,4,8,4,1,1,0,0,0,0,2.245876207947731,2.8992984164506197,0.6534222085028887
93,1,0,0,0,5,5,0,9,9,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1.6775128338485956,1.7713039154186845,0.09379108157008886
94,2,0,0,0,9,9,0,12,12,0,4,4,0,1,1,0,3,3,0,1,1,0,0,0,0,2.896007040515542,2.941790707409382,0.045783666893839836
95,3,1,1,0,10,10,0,15,15,0,4,4,0,2,2,0,6,6,0,0,0,0,0,0,0,2.6711577074602246,2.6935372073203325,0.0223794998601079
96,0,0,0,0,8,8,0,9,9,0,2,2,0,2,2,0,4,4,0,0,0,0,0,0,0,1.7188913328573108,1.7802386675029993,0.061347334645688534
97,1,0,0,0,8,8,0,9,9,0,4,4,0,2,2,0,1,1,0,0,0,0,0,0,0,2.2728243758901954,2.2322366666048765,-0.04058770928531885
98,2,1,1,0,10,10,0,15,15,0,4,4,0,2,2,0,0,0,0,1,1,0,0,0,0,3.099496791139245,3.147114207968116,0.04761741682887077
99,3,0,0,0,7,7,0,14,14,0,5,5,0,0,0,0,5,5,0,1,1,0,0,0,0,2.854185708798468,4.437337375245988,1.5831516664475203
100,0,0,0,0,9,9,0,5,5,0,1,1,0,3,3,0,7,7,0,0,0,0,0,0,0,1.9757856670767069,1.9777399580925703,0.0019542910158634186
101,1,1,1,0,10,10,0,12,12,0,0,2,2,4,3,-1,3,2,-1,1,1,0,0,0,0,2.3234304171055555,2.690643041394651,0.3672126242890954
102,2,1,1,0,10,10,0,10,10,0,3,3,0,2,2,0,3,3,0,1,1,0,0,0,0,2.1954639991745353,2.176555416546762,-0.018908582627773285
103,3,1,1,0,10,10,0,15,15,0,5,5,0,1,1,0,7,7,0,1,1,0,0,0,0,3.5470472928136587,3.58407074958086,0.037023456767201424
104,0,0,0,0,8,8,0,7,7,0,3,3,0,2,2,0,4,4,0,0,0,0,0,0,0,2.1560010006651282,2.1569381672888994,0.0009371666237711906
105,1,0,0,0,8,8,0,9,9,0,4,4,0,2,2,0,5,5,0,0,0,0,0,0,0,2.4886450823396444,2.535493333823979,0.04684825148433447
106,2,1,1,0,10,10,0,8,8,0,1,1,0,4,4,0,2,2,0,0,0,0,0,0,0,1.9002824164927006,1.9420471247285604,0.04176470823585987
107,3,1,1,0,10,10,0,8,8,0,4,4,0,2,2,0,4,4,0,0,0,0,0,0,0,1.468454459682107,1.4886847073212266,0.020230247639119625
108,0,1,1,0,10,10,0,9,9,0,1,1,0,4,4,0,1,1,0,0,0,0,0,0,0,2.095245291478932,4.149618833325803,2.0543735418468714
109,1,0,0,0,9,9,0,8,8,0,3,3,0,2,2,0,5,5,0,0,0,0,0,0,0,2.429475416429341,2.8101156670600176,0.38064025063067675
110,2,1,1,0,10,10,0,11,11,0,3,3,0,3,3,0,4,4,0,0,0,0,0,0,0,1.961087666451931,2.047918458469212,0.08683079201728106
111,3,1,1,0,10,10,0,11,11,0,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0,2.2763816667720675,2.3145930003374815,0.03821133356541395
112,0,0,0,0,7,7,0,9,9,0,5,5,0,1,1,0,2,2,0,0,0,0,0,0,0,2.1098871659487486,2.0973530830815434,-0.012534082867205143
113,1,1,1,0,10,10,0,9,9,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,1.4240019582211971,1.4181660423055291,-0.005835915915668011
114,2,0,0,0,8,8,0,10,10,0,5,5,0,0,0,0,4,4,0,1,1,0,0,0,0,1.7299521258100867,1.744886750355363,0.014934624545276165
115,3,1,1,0,10,10,0,10,10,0,3,3,0,3,3,0,4,4,0,0,0,0,0,0,0,2.6362129598855972,2.719845707528293,0.0836327476426959
116,0,0,0,0,8,8,0,11,11,0,4,4,0,1,1,0,7,7,0,0,0,0,0,0,0,2.533742541447282,2.4527811678126454,-0.0809613736346364
117,1,0,0,0,9,9,0,14,14,0,4,4,0,2,2,0,6,6,0,0,0,0,0,0,0,3.4337426256388426,3.4161791671067476,-0.017563458532094955
118,2,0,0,0,9,9,0,12,12,0,4,4,0,1,1,0,3,3,0,1,1,0,0,0,0,2.415420708246529,2.390458583831787,-0.024962124414741993
119,3,0,0,0,9,9,0,13,13,0,4,4,0,1,1,0,6,6,0,1,1,0,0,0,0,2.2302779583260417,2.316881666891277,0.08660370856523514
120,0,0,0,0,6,6,0,8,8,0,2,2,0,2,2,0,6,6,0,0,0,0,0,0,0,1.7951824581250548,1.8212858326733112,0.026103374548256397
121,1,1,1,0,10,10,0,10,10,0,3,3,0,3,3,0,2,2,0,0,0,0,0,0,0,2.115432624705136,2.088478457182646,-0.026954167522490025
122,2,1,1,0,10,10,0,12,12,0,5,5,0,1,1,0,4,4,0,1,1,0,0,0,0,2.524460082873702,2.4172125412151217,-0.1072475416585803
123,3,0,0,0,9,9,0,11,11,0,5,5,0,0,0,0,6,6,0,1,1,0,0,0,0,2.428976292721927,2.3350476659834385,-0.09392862673848867
124,0,1,1,0,10,10,0,6,6,0,2,2,0,3,3,0,8,8,0,0,0,0,0,0,0,2.767795958556235,3.0393343325704336,0.2715383740141988
125,1,1,1,0,10,10,0,14,14,0,5,5,0,1,1,0,4,4,0,1,1,0,0,0,0,2.4108262918889523,3.465750999748707,1.0549247078597546
126,2,0,0,0,6,6,0,11,11,0,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,2.259403208270669,3.024486000649631,0.765082792378962
