variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
yop_off,105,1,0,8,9,4,2,5,0,0,2.4489613752812147
yop_on,105,1,1,10,14,4,2,5,1,0,2.557818333618343
yop_off,106,2,1,10,8,1,4,2,0,0,1.853016084060073
yop_on,106,2,1,10,8,1,4,2,0,0,1.880503624677658
yop_off,107,3,1,10,8,4,2,4,0,0,1.5285347495228052
yop_on,107,3,1,10,8,4,2,4,0,0,1.4780669156461954
yop_off,108,0,1,10,9,1,4,1,0,0,2.050904749892652
yop_on,108,0,1,10,9,1,4,1,0,0,3.2016896661370993
yop_off,109,1,0,9,8,3,2,5,0,0,2.419462790712714
yop_on,109,1,0,9,8,3,2,5,0,0,2.6776337921619415
yop_off,110,2,1,10,11,3,3,4,0,0,1.8822939591482282
yop_on,110,2,1,10,11,3,3,4,0,0,2.04604549985379
yop_off,111,3,1,10,11,4,3,1,0,0,2.27362291701138
yop_on,111,3,0,9,9,3,3,1,0,0,2.3949487507343292
yop_off,112,0,0,7,9,5,1,2,0,0,2.0532353334128857
yop_on,112,0,0,7,9,5,1,2,0,0,2.04541683383286
yop_off,113,1,1,10,9,5,1,1,1,0,1.3984920410439372
yop_on,113,1,1,10,9,5,1,1,1,0,1.381947665475309
yop_off,114,2,0,8,10,5,0,4,1,0,1.6861122073605657
yop_on,114,2,0,8,10,5,0,4,1,0,1.8749290416017175
yop_off,115,3,1,10,10,3,3,4,0,0,2.5257535837590694
yop_on,115,3,1,10,14,5,1,6,1,0,2.6858030408620834
yop_off,116,0,0,8,11,4,1,7,0,0,2.3556546671316028
yop_on,116,0,0,8,11,4,1,7,0,0,2.330154166556895
yop_off,117,1,0,9,14,4,2,6,0,0,3.3156158747151494
yop_on,117,1,0,9,14,4,2,6,0,0,3.5199756249785423
yop_off,118,2,0,9,12,4,1,3,1,0,2.3179375417530537
yop_on,118,2,0,9,12,4,1,3,1,0,2.318568625487387
yop_off,119,3,0,9,13,4,1,6,1,0,2.218030500225723
yop_on,119,3,1,10,12,4,1,6,1,0,3.0913393748924136
yop_off,120,0,0,6,8,2,2,6,0,0,1.8216256247833371
yop_on,120,0,0,6,8,2,2,6,0,0,1.8189561245962977
yop_off,121,1,1,10,10,3,3,2,0,0,2.015515916980803
yop_on,121,1,0,9,11,3,2,4,0,0,2.075863833539188
yop_off,122,2,1,10,12,5,1,4,1,0,2.3392066676169634
yop_on,122,2,0,8,12,5,0,4,1,0,2.664406208321452
yop_off,123,3,0,9,11,5,0,6,1,0,2.3479715827852488
yop_on,123,3,0,9,11,5,0,6,1,0,2.2525695404037833
yop_off,124,0,1,10,6,2,3,8,0,0,2.63406474981457
yop_on,124,0,1,10,6,2,3,8,0,0,2.6341876247897744
yop_off,125,1,1,10,14,5,1,4,1,0,2.348409208469093
yop_on,125,1,1,10,14,5,1,4,1,0,3.3615580834448338
yop_off,126,2,0,6,11,5,0,4,0,0,2.246877083554864
yop_on,126,2,0,6,11,5,0,4,0,0,2.2215109588578343
yop_off,127,3,0,5,11,5,0,3,0,0,2.439109291881323
yop_on,127,3,0,5,11,5,0,3,0,0,2.456415291875601
yop_off,128,0,0,8,11,4,2,7,0,0,2.437810084782541
yop_on,128,0,0,8,11,4,2,7,0,0,2.471540290862322
yop_off,129,1,0,9,9,3,3,3,0,0,2.3828819999471307
yop_on,129,1,0,9,9,3,3,3,0,0,2.4691337076947093
yop_off,130,2,1,10,9,3,2,7,1,0,2.3634839160367846
yop_on,130,2,1,10,9,3,2,7,1,0,2.3480688333511353
yop_off,131,3,1,10,9,5,2,7,0,0,2.375573666766286
yop_on,131,3,1,10,9,5,2,7,0,0,2.559999333694577
yop_off,132,0,1,10,10,4,1,7,1,0,1.8876091660931706
yop_on,132,0,1,10,13,4,1,7,1,0,2.6267643747851253
yop_off,133,1,0,9,12,5,1,4,0,0,2.425886457785964
yop_on,133,1,1,10,8,2,3,6,0,0,1.9833264583721757
yop_off,134,2,1,10,13,3,2,3,1,0,1.9256964577361941
yop_on,134,2,1,10,13,3,2,3,1,0,1.907799624837935
yop_off,135,3,0,8,10,3,2,4,0,0,2.0241115000098944
yop_on,135,3,0,8,10,3,2,4,0,0,2.075232958421111
yop_off,136,0,1,10,5,1,3,6,0,0,2.2409823751077056
yop_on,136,0,1,10,5,1,3,6,0,0,2.2452709581702948
yop_off,137,1,0,7,3,0,3,2,0,0,1.1940230000764132
yop_on,137,1,0,7,3,0,3,2,0,0,1.1828672075644135
yop_off,138,2,0,7,13,4,1,6,0,0,2.3935147086158395
yop_on,138,2,0,7,13,4,1,6,0,0,2.414000041782856
yop_off,139,3,1,10,13,4,2,9,0,0,3.6910582911223173
yop_on,139,3,1,10,15,4,2,7,1,0,2.9545235419645905
yop_off,140,0,0,8,5,1,3,4,0,0,2.2919777501374483
yop_on,140,0,0,8,5,1,3,4,0,0,2.5388221675530076
yop_off,141,1,0,9,3,1,2,6,0,0,1.9633388323709369
yop_on,141,1,0,8,10,3,2,2,0,0,2.2875720830634236
yop_off,142,2,0,6,4,2,1,6,0,0,2.0877729998901486
yop_on,142,2,0,7,6,0,3,6,0,0,2.056458833627403
yop_off,143,3,1,10,9,0,4,3,1,0,1.6941459998488426
yop_on,143,3,1,10,9,0,4,3,1,0,1.6955907084047794
yop_off,144,0,1,10,8,3,2,6,0,0,1.9537888746708632
yop_on,144,0,1,10,8,3,2,6,0,0,1.9499009996652603
yop_off,145,1,0,8,7,3,2,2,0,0,2.226100541651249
yop_on,145,1,0,8,7,3,2,2,0,0,2.200567957945168
yop_off,146,2,1,10,10,5,1,5,1,0,1.4866809574887156
yop_on,146,2,1,10,10,5,1,5,1,0,1.6124071655794978
yop_off,147,3,0,8,5,1,3,6,0,0,1.9127354584634304
yop_on,147,3,0,5,4,3,0,9,0,0,1.5325743751600385
yop_off,148,0,0,9,12,4,1,2,1,0,1.5844960417598486
yop_on,148,0,0,9,12,4,1,2,1,0,1.5134581662714481
yop_off,149,1,1,10,12,4,2,3,1,0,2.1024549175053835
yop_on,149,1,1,10,12,4,2,3,1,0,2.1432674573734403
yop_off,150,2,0,5,11,5,0,6,0,0,2.0230768751353025
yop_on,150,2,0,5,11,5,0,6,0,0,2.1996840834617615
yop_off,151,3,0,4,7,4,0,2,0,0,2.037929916754365
yop_on,151,3,1,10,10,2,3,1,1,0,3.320595624856651
yop_off,152,0,0,4,6,2,1,0,0,0,0.8648949172347784
yop_on,152,0,0,4,6,2,1,0,0,0,0.8463966669514775
yop_off,153,1,1,10,9,4,1,4,1,0,1.8777721673250198
yop_on,153,1,1,10,9,4,1,4,1,0,1.9095033751800656
yop_off,154,2,0,4,5,4,0,1,0,0,1.2735730838030577
yop_on,154,2,0,4,5,4,0,1,0,0,1.2328205844387412
yop_off,155,3,1,10,14,5,1,4,1,0,2.526753166690469
yop_on,155,3,1,10,14,5,1,4,1,0,2.6025752080604434
yop_off,156,0,1,10,6,2,3,5,0,0,2.0149995423853397
yop_on,156,0,1,10,6,2,3,5,0,0,1.874205500818789
yop_off,157,1,1,10,9,4,2,3,0,0,2.660166999325156
yop_on,157,1,1,10,9,4,2,3,0,0,2.6989848744124174
yop_off,158,2,1,10,6,1,4,1,0,0,1.7331917081028223
yop_on,158,2,1,10,6,1,4,3,0,0,2.1521229995414615
yop_off,159,3,0,8,6,3,2,5,0,0,1.6627144999802113
yop_on,159,3,0,8,6,3,2,5,0,0,2.067161082290113
yop_off,160,0,1,10,10,1,4,4,0,0,3.0497157499194145
yop_on,160,0,0,9,7,4,1,8,0,0,2.2808945002034307
yop_off,161,1,1,10,12,4,2,0,1,0,2.3318983325734735
yop_on,161,1,1,10,13,5,1,2,1,0,2.5614813743159175
