seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
103,3,1,1,0,10,10,0,15,15,0,5,4,-1,1,1,0,7,4,-3,1,1,0,0,0,0,3.4957947926595807,3.6940235421061516,0.19822874944657087
104,0,0,0,0,8,8,0,7,7,0,3,3,0,2,2,0,4,4,0,0,0,0,0,0,0,2.1614022916182876,2.123477665707469,-0.03792462591081858
105,1,0,1,1,8,10,2,9,14,5,4,4,0,2,2,0,5,5,0,0,1,1,0,0,0,2.4489613752812147,2.557818333618343,0.10885695833712816
106,2,1,1,0,10,10,0,8,8,0,1,1,0,4,4,0,2,2,0,0,0,0,0,0,0,1.853016084060073,1.880503624677658,0.027487540617585182
107,3,1,1,0,10,10,0,8,8,0,4,4,0,2,2,0,4,4,0,0,0,0,0,0,0,1.5285347495228052,1.4780669156461954,-0.0504678338766098
108,0,1,1,0,10,10,0,9,9,0,1,1,0,4,4,0,1,1,0,0,0,0,0,0,0,2.050904749892652,3.2016896661370993,1.1507849162444472
109,1,0,0,0,9,9,0,8,8,0,3,3,0,2,2,0,5,5,0,0,0,0,0,0,0,2.419462790712714,2.6776337921619415,0.25817100144922733
110,2,1,1,0,10,10,0,11,11,0,3,3,0,3,3,0,4,4,0,0,0,0,0,0,0,1.8822939591482282,2.04604549985379,0.16375154070556164
111,3,1,0,-1,10,9,-1,11,9,-2,4,3,-1,3,3,0,1,1,0,0,0,0,0,0,0,2.27362291701138,2.3949487507343292,0.12132583372294903
112,0,0,0,0,7,7,0,9,9,0,5,5,0,1,1,0,2,2,0,0,0,0,0,0,0,2.0532353334128857,2.04541683383286,-0.007818499580025673
113,1,1,1,0,10,10,0,9,9,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,1.3984920410439372,1.381947665475309,-0.01654437556862831
114,2,0,0,0,8,8,0,10,10,0,5,5,0,0,0,0,4,4,0,1,1,0,0,0,0,1.6861122073605657,1.8749290416017175,0.1888168342411518
115,3,1,1,0,10,10,0,10,14,4,3,5,2,3,1,-2,4,6,2,0,1,1,0,0,0,2.5257535837590694,2.6858030408620834,0.160049457103014
116,0,0,0,0,8,8,0,11,11,0,4,4,0,1,1,0,7,7,0,0,0,0,0,0,0,2.3556546671316028,2.330154166556895,-0.025500500574707985
117,1,0,0,0,9,9,0,14,14,0,4,4,0,2,2,0,6,6,0,0,0,0,0,0,0,3.3156158747151494,3.5199756249785423,0.20435975026339293
118,2,0,0,0,9,9,0,12,12,0,4,4,0,1,1,0,3,3,0,1,1,0,0,0,0,2.3179375417530537,2.318568625487387,0.0006310837343335152
119,3,0,1,1,9,10,1,13,12,-1,4,4,0,1,1,0,6,6,0,1,1,0,0,0,0,2.218030500225723,3.0913393748924136,0.8733088746666908
120,0,0,0,0,6,6,0,8,8,0,2,2,0,2,2,0,6,6,0,0,0,0,0,0,0,1.8216256247833371,1.8189561245962977,-0.0026695001870393753
121,1,1,0,-1,10,9,-1,10,11,1,3,3,0,3,2,-1,2,4,2,0,0,0,0,0,0,2.015515916980803,2.075863833539188,0.060347916558384895
122,2,1,0,-1,10,8,-2,12,12,0,5,5,0,1,0,-1,4,4,0,1,1,0,0,0,0,2.3392066676169634,2.664406208321452,0.32519954070448875
123,3,0,0,0,9,9,0,11,11,0,5,5,0,0,0,0,6,6,0,1,1,0,0,0,0,2.3479715827852488,2.2525695404037833,-0.09540204238146544
124,0,1,1,0,10,10,0,6,6,0,2,2,0,3,3,0,8,8,0,0,0,0,0,0,0,2.63406474981457,2.6341876247897744,0.00012287497520446777
125,1,1,1,0,10,10,0,14,14,0,5,5,0,1,1,0,4,4,0,1,1,0,0,0,0,2.348409208469093,3.3615580834448338,1.013148874975741
126,2,0,0,0,6,6,0,11,11,0,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,2.246877083554864,2.2215109588578343,-0.02536612469702959
127,3,0,0,0,5,5,0,11,11,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,2.439109291881323,2.456415291875601,0.017305999994277954
128,0,0,0,0,8,8,0,11,11,0,4,4,0,2,2,0,7,7,0,0,0,0,0,0,0,2.437810084782541,2.471540290862322,0.033730206079781055
129,1,0,0,0,9,9,0,9,9,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,2.3828819999471307,2.4691337076947093,0.08625170774757862
130,2,1,1,0,10,10,0,9,9,0,3,3,0,2,2,0,7,7,0,1,1,0,0,0,0,2.3634839160367846,2.3480688333511353,-0.015415082685649395
131,3,1,1,0,10,10,0,9,9,0,5,5,0,2,2,0,7,7,0,0,0,0,0,0,0,2.375573666766286,2.559999333694577,0.18442566692829132
132,0,1,1,0,10,10,0,10,13,3,4,4,0,1,1,0,7,7,0,1,1,0,0,0,0,1.8876091660931706,2.6267643747851253,0.7391552086919546
133,1,0,1,1,9,10,1,12,8,-4,5,2,-3,1,3,2,4,6,2,0,0,0,0,0,0,2.425886457785964,1.9833264583721757,-0.4425599994137883
134,2,1,1,0,10,10,0,13,13,0,3,3,0,2,2,0,3,3,0,1,1,0,0,0,0,1.9256964577361941,1.907799624837935,-0.017896832898259163
135,3,0,0,0,8,8,0,10,10,0,3,3,0,2,2,0,4,4,0,0,0,0,0,0,0,2.0241115000098944,2.075232958421111,0.051121458411216736
136,0,1,1,0,10,10,0,5,5,0,1,1,0,3,3,0,6,6,0,0,0,0,0,0,0,2.2409823751077056,2.2452709581702948,0.0042885830625891685
137,1,0,0,0,7,7,0,3,3,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,1.1940230000764132,1.1828672075644135,-0.011155792511999607
138,2,0,0,0,7,7,0,13,13,0,4,4,0,1,1,0,6,6,0,0,0,0,0,0,0,2.3935147086158395,2.414000041782856,0.020485333167016506
139,3,1,1,0,10,10,0,13,15,2,4,4,0,2,2,0,9,7,-2,0,1,1,0,0,0,3.6910582911223173,2.9545235419645905,-0.7365347491577268
140,0,0,0,0,8,8,0,5,5,0,1,1,0,3,3,0,4,4,0,0,0,0,0,0,0,2.2919777501374483,2.5388221675530076,0.2468444174155593
141,1,0,0,0,9,8,-1,3,10,7,1,3,2,2,2,0,6,2,-4,0,0,0,0,0,0,1.9633388323709369,2.2875720830634236,0.32423325069248676
142,2,0,0,0,6,7,1,4,6,2,2,0,-2,1,3,2,6,6,0,0,0,0,0,0,0,2.0877729998901486,2.056458833627403,-0.03131416626274586
143,3,1,1,0,10,10,0,9,9,0,0,0,0,4,4,0,3,3,0,1,1,0,0,0,0,1.6941459998488426,1.6955907084047794,0.0014447085559368134
144,0,1,1,0,10,10,0,8,8,0,3,3,0,2,2,0,6,6,0,0,0,0,0,0,0,1.9537888746708632,1.9499009996652603,-0.0038878750056028366
145,1,0,0,0,8,8,0,7,7,0,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0,2.226100541651249,2.200567957945168,-0.025532583706080914
146,2,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,5,5,0,1,1,0,0,0,0,1.4866809574887156,1.6124071655794978,0.12572620809078217
