strategy,seed,seat,winner,game_turns,first_road_global,first_road_own,first_settlement_global,first_settlement_own,first_city_global,first_city_own,first_dev_global,first_dev_own,first_lr_global,first_lr_own,first_la_global,first_la_own
full_ows,37,4,0,133,28,7,,,120,30,32,8,56,14,,
full_ows,38,1,0,102,29,8,,,,,5,2,,,45,12
full_ows,38,2,1,102,14,4,34,9,42,11,10,3,,,,
full_ows,38,3,0,102,7,2,67,17,35,9,,,23,6,,
full_ows,38,4,0,102,68,17,,,,,4,1,,,24,6
full_ows,39,1,1,85,1,1,85,22,53,14,1,1,69,18,29,8
full_ows,39,2,0,85,66,17,78,20,50,13,6,2,,,,
full_ows,39,3,0,85,79,20,,,43,11,3,1,,,,
full_ows,39,4,0,85,4,1,52,13,72,18,4,1,36,9,,
full_ows,40,1,0,98,81,21,,,77,20,5,2,,,37,10
full_ows,40,2,1,98,6,2,78,20,14,4,34,9,62,16,,
full_ows,40,3,0,98,3,1,15,4,47,12,43,11,7,2,,
full_ows,40,4,0,98,16,4,,,32,8,8,2,,,72,18
full_ows,41,1,0,124,61,16,,,97,25,9,3,,,73,19
full_ows,41,2,0,124,2,1,106,27,74,19,10,3,,,,
full_ows,41,3,0,124,59,15,,,115,29,7,2,,,,
full_ows,41,4,1,124,8,2,124,31,104,26,4,1,48,12,44,11
full_ows,42,1,0,80,21,6,,,,,9,3,,,57,15
full_ows,42,2,0,80,,,,,,,6,2,,,,
full_ows,42,3,0,80,11,3,,,,,27,7,39,10,,
full_ows,42,4,1,80,24,6,60,15,8,2,4,1,56,14,80,20
full_ows,43,1,0,118,21,6,85,22,17,5,25,7,,,69,18
full_ows,43,2,1,118,2,1,98,25,102,26,10,3,34,9,,
full_ows,43,3,0,118,7,2,107,27,,,7,2,27,7,31,8
full_ows,43,4,0,118,92,23,,,,,20,5,,,,
full_ows,44,1,0,155,113,29,,,21,6,13,4,,,81,21
full_ows,44,2,0,155,38,10,,,14,4,10,3,,,34,9
full_ows,44,3,1,155,3,1,99,25,155,39,31,8,55,14,,
full_ows,44,4,0,155,16,4,,,100,25,12,3,,,,
full_ows,45,1,0,176,117,30,133,34,37,10,17,5,,,,
full_ows,45,2,0,176,50,13,106,27,38,10,42,11,,,,
full_ows,45,3,0,176,19,5,143,36,39,10,7,2,,,31,8
full_ows,45,4,1,176,8,2,148,37,84,21,20,5,40,10,,
full_ows,46,1,0,107,21,6,101,26,69,18,9,3,,,,
full_ows,46,2,0,107,38,10,,,,,14,4,,,34,9
full_ows,46,3,1,107,3,1,67,17,99,25,19,5,35,9,,
full_ows,46,4,0,107,56,14,92,23,20,5,32,8,,,,
full_ows,47,1,0,140,29,8,105,27,,,1,1,,,,
full_ows,47,2,0,140,2,1,122,31,66,17,6,2,46,12,,
full_ows,47,3,0,140,3,1,,,,,23,6,123,31,,
full_ows,47,4,1,140,124,31,140,35,4,1,8,2,,,48,12
full_ows,48,1,1,105,13,4,93,24,9,3,81,21,57,15,,
full_ows,48,2,0,105,14,4,90,23,18,5,2,1,,,,
full_ows,48,3,0,105,43,11,,,7,2,11,3,,,27,7
full_ows,48,4,0,105,72,18,,,32,8,8,2,,,,
full_ows,49,1,0,162,1,1,161,41,125,32,25,7,45,12,,
full_ows,49,2,1,162,2,1,138,35,50,13,6,2,118,30,30,8
full_ows,49,3,0,162,27,7,,,123,31,23,6,,,,
full_ows,49,4,0,162,28,7,124,31,148,37,4,1,,,,
full_ows,50,1,0,130,37,10,,,105,27,9,3,,,,
full_ows,50,2,1,130,70,18,130,33,50,13,10,3,,,46,12
full_ows,50,3,0,130,7,2,,,107,27,11,3,51,13,,
full_ows,50,4,0,130,28,7,96,24,108,27,24,6,,,,
full_ows,51,1,0,131,13,4,,,,,21,6,,,,
full_ows,51,2,0,131,34,9,,,130,33,14,4,,,,
full_ows,51,3,1,131,7,2,115,29,43,11,11,3,,,,
full_ows,51,4,0,131,4,1,112,28,104,26,8,2,20,5,72,18
full_ows,52,1,0,147,13,4,,,,,9,3,,,,
full_ows,52,2,0,147,30,8,,,22,6,74,19,,,,
full_ows,52,3,1,147,3,1,67,17,23,6,47,12,19,5,,
full_ows,52,4,0,147,32,8,,,140,35,12,3,,,56,14
full_ows,53,1,1,125,33,9,125,32,77,20,9,3,,,77,20
full_ows,53,2,0,125,94,24,,,,,6,2,,,,
full_ows,53,3,0,125,11,3,119,30,27,7,47,12,,,,
full_ows,53,4,0,125,4,1,100,25,20,5,28,7,32,8,44,11
full_ows,54,1,0,96,1,1,93,24,21,6,33,9,45,12,,
full_ows,54,2,0,96,78,20,,,,,10,3,,,,
full_ows,54,3,0,96,3,1,31,8,,,11,3,27,7,59,15
full_ows,54,4,1,96,24,6,88,22,8,2,4,1,,,68,17
full_ows,55,1,0,135,9,3,113,29,69,18,25,7,,,,
full_ows,55,2,0,135,2,1,,,134,34,14,4,,,38,10
full_ows,55,3,1,135,3,1,15,4,123,31,27,7,35,9,,
full_ows,55,4,0,135,8,2,,,,,24,6,,,,
full_ows,56,1,0,115,65,17,,,,,13,4,,,,
full_ows,56,2,0,115,6,2,,,90,23,70,18,,,,
full_ows,56,3,1,115,87,22,,,35,9,3,1,115,29,43,11
full_ows,56,4,0,115,8,2,,,,,4,1,24,6,,
full_ows,57,1,0,110,21,6,,,101,26,5,2,,,,
full_ows,57,2,1,110,46,12,94,24,18,5,38,10,106,27,,
full_ows,57,3,0,110,75,19,87,22,39,10,3,1,,,,
full_ows,57,4,0,110,20,5,104,26,36,9,4,1,96,24,16,4
full_ows,58,1,0,111,29,8,,,,,41,11,,,,
full_ows,58,2,0,111,62,16,,,38,10,6,2,,,30,8
full_ows,58,3,1,111,3,1,3,1,27,7,71,18,111,28,,
full_ows,58,4,0,111,40,10,,,,,4,1,64,16,,
full_ows,59,1,0,80,9,3,,,9,3,33,9,,,,
full_ows,59,2,0,80,2,1,,,38,10,22,6,,,,
full_ows,59,3,0,80,27,7,,,,,19,5,,,,
full_ows,59,4,1,80,20,5,80,20,8,2,12,3,32,8,28,7
full_ows,60,1,0,116,1,1,105,27,29,8,37,10,105,27,,
full_ows,60,2,0,116,14,4,,,,,18,5,,,,
full_ows,60,3,0,116,7,2,,,103,26,3,1,,,39,10
full_ows,60,4,1,116,4,1,108,27,76,19,16,4,24,6,,
full_ows,61,1,0,120,5,2,,,109,28,13,4,,,,
full_ows,61,2,0,120,18,5,,,,,6,2,,,30,8
full_ows,61,3,0,120,99,25,,,79,20,3,1,,,,
full_ows,61,4,1,120,60,15,108,27,84,21,4,1,80,20,,
full_ows,62,1,0,79,1,1,,,73,19,25,7,17,5,,
full_ows,62,2,0,79,6,2,,,74,19,2,1,34,9,18,5
full_ows,62,3,1,79,75,19,75,19,3,1,19,5,,,,
full_ows,62,4,0,79,4,1,,,,,20,5,24,6,,
full_ows,63,1,1,89,1,1,33,9,85,22,17,5,65,17,,
full_ows,63,2,0,89,10,3,82,21,,,6,2,,,,
full_ows,63,3,0,89,3,1,,,83,21,3,1,,,,
full_ows,63,4,0,89,56,14,,,88,22,4,1,60,15,48,12
full_ows,64,1,0,142,121,31,,,137,35,25,7,,,57,15
full_ows,64,2,1,142,6,2,142,36,26,7,2,1,126,32,82,21
full_ows,64,3,0,142,7,2,,,135,34,23,6,,,,
full_ows,64,4,0,142,16,4,80,20,124,31,8,2,76,19,,
full_ows,65,1,0,111,1,1,,,69,18,41,11,13,4,,
full_ows,65,2,0,111,2,1,,,26,7,50,13,,,,
full_ows,65,3,1,111,3,1,99,25,19,5,43,11,67,17,,
full_ows,65,4,0,111,44,11,,,72,18,12,3,,,48,12
full_ows,66,1,1,185,21,6,173,44,13,4,5,2,105,27,65,17
full_ows,66,2,0,185,2,1,,,158,40,26,7,26,7,,
full_ows,66,3,0,185,27,7,167,42,,,31,8,,,,
full_ows,66,4,0,185,8,2,176,44,,,20,5,140,35,,
full_ows,67,1,0,84,1,1,53,14,,,13,4,,,,
full_ows,67,2,0,84,78,20,,,78,20,10,3,,,,
full_ows,67,3,0,84,,,,,,,11,3,,,39,10
full_ows,67,4,1,84,16,4,28,7,4,1,16,4,56,14,,
full_ows,68,1,1,165,9,3,141,36,33,9,5,2,45,12,,
full_ows,68,2,0,165,2,1,110,28,122,31,10,3,62,16,26,7
full_ows,68,3,0,165,19,5,163,41,51,13,3,1,127,32,,
full_ows,68,4,0,165,96,24,136,34,20,5,12,3,,,,
full_ows,69,1,0,106,9,3,57,15,,,5,2,41,11,,
