variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
maritime_off,107,3,0,4,11,2,1,2,0,0,1.2040831660851836
maritime_on,107,3,1,10,8,4,2,4,0,0,1.3969857078045607
maritime_off,108,0,0,8,9,4,2,3,0,0,1.954485791735351
maritime_on,108,0,1,10,11,4,2,4,1,0,1.8547558328136802
maritime_off,109,1,0,2,2,2,0,1,0,0,1.5519404597580433
maritime_on,109,1,0,4,3,3,0,3,0,0,1.1171974167227745
maritime_off,110,2,1,10,15,4,2,1,1,0,1.8311011670157313
maritime_on,110,2,1,10,14,4,2,3,1,0,2.1692344583570957
maritime_off,111,3,0,4,7,0,2,0,0,0,2.165596291422844
maritime_on,111,3,1,10,11,4,3,1,0,0,2.2125172093510628
maritime_off,112,0,0,8,4,1,3,7,0,0,1.9398260824382305
maritime_on,112,0,0,9,4,0,4,6,0,0,1.290600374341011
maritime_off,113,1,0,5,3,1,2,1,0,0,2.151223374530673
maritime_on,113,1,0,4,4,3,0,3,0,0,1.2959091663360596
maritime_off,114,2,0,2,2,2,0,0,0,0,1.3292054999619722
maritime_on,114,2,0,4,3,2,1,6,0,0,1.4602442914620042
maritime_off,115,3,1,10,15,5,1,6,1,0,2.3361542923375964
maritime_on,115,3,1,10,10,3,3,4,0,0,2.4232982080429792
maritime_off,116,0,0,4,4,3,0,6,0,0,1.3394667506217957
maritime_on,116,0,0,5,4,2,1,4,0,0,1.222474499605596
maritime_off,117,1,0,3,2,1,1,3,0,0,0.6728829173371196
maritime_on,117,1,0,3,3,3,0,2,0,0,1.091647207736969
maritime_off,118,2,0,8,13,5,0,1,1,0,1.691582791507244
maritime_on,118,2,0,4,6,4,0,0,0,0,0.828356540761888
maritime_off,119,3,0,7,15,5,0,3,1,0,1.6709716655313969
maritime_on,119,3,0,9,13,4,1,6,1,0,2.1453083753585815
maritime_off,120,0,0,9,4,0,4,6,0,0,1.454612416215241
maritime_on,120,0,1,10,13,2,4,6,0,0,2.494409875012934
maritime_off,121,1,0,5,2,0,2,6,0,0,1.8988272091373801
maritime_on,121,1,0,5,2,1,1,7,0,0,1.4139720425009727
maritime_off,122,2,0,9,15,5,0,4,1,0,2.601926375180483
maritime_on,122,2,0,5,10,5,0,2,0,0,1.8238612497225404
maritime_off,123,3,0,5,6,2,1,1,0,0,1.007463250309229
maritime_on,123,3,0,9,11,5,0,6,1,0,2.185209708288312
maritime_off,124,0,0,8,11,0,4,7,0,0,1.6477837497368455
maritime_on,124,0,1,10,4,0,4,5,0,0,1.6978610418736935
maritime_off,125,1,0,3,5,3,0,1,0,0,1.1222847495228052
maritime_on,125,1,0,7,9,5,0,3,1,0,1.9942963747307658
maritime_off,126,2,0,4,7,4,0,0,0,0,1.4793710839003325
maritime_on,126,2,0,3,5,3,0,3,0,0,1.7688600411638618
maritime_off,127,3,0,6,6,5,0,1,0,0,1.826919374987483
maritime_on,127,3,0,5,11,5,0,3,0,0,2.3549942076206207
maritime_off,128,0,0,5,8,5,0,4,0,0,1.6436777925118804
maritime_on,128,0,0,6,8,4,1,4,0,0,1.716130374930799
maritime_off,129,1,0,6,3,0,3,5,0,0,1.3194253332912922
maritime_on,129,1,0,9,6,1,4,5,0,0,2.0609957091510296
maritime_off,130,2,0,2,2,2,0,1,0,0,1.053289458155632
maritime_on,130,2,0,5,3,1,2,6,0,0,1.5311433328315616
maritime_off,131,3,1,10,15,4,2,2,0,0,2.0798332076519728
maritime_on,131,3,1,10,9,5,2,7,0,0,2.2958599999547005
maritime_off,132,0,0,9,11,3,2,4,1,0,2.062329082749784
maritime_on,132,0,1,10,9,1,4,5,0,0,3.1478340420871973
maritime_off,133,1,0,8,4,1,3,7,0,0,1.9808093747124076
maritime_on,133,1,0,9,7,1,4,2,0,0,2.007447125390172
maritime_off,134,2,0,7,11,5,0,2,1,0,1.4616840416565537
maritime_on,134,2,0,5,7,5,0,2,0,0,1.1383891245350242
maritime_off,135,3,0,9,8,1,4,3,0,0,2.1763691250234842
maritime_on,135,3,0,8,10,3,2,4,0,0,2.2268152916803956
maritime_off,136,0,0,6,6,2,2,3,0,0,1.2940317494794726
maritime_on,136,0,1,10,8,1,4,4,0,0,1.7471244996413589
maritime_off,137,1,0,5,3,2,0,7,0,0,1.4513341672718525
maritime_on,137,1,0,6,3,2,1,7,0,0,1.7453835410997272
maritime_off,138,2,0,9,15,5,1,0,1,0,2.050823208875954
maritime_on,138,2,1,10,14,5,1,1,1,0,2.3023910420015454
maritime_off,139,3,1,10,15,5,2,6,0,0,2.2140450831502676
maritime_on,139,3,1,10,13,4,2,9,0,0,3.5868392502889037
maritime_off,140,0,0,7,3,0,3,3,0,0,1.461765082553029
maritime_on,140,0,0,7,4,0,3,5,0,0,2.0275597497820854
maritime_off,141,1,0,5,4,1,2,7,0,0,1.2741483747959137
maritime_on,141,1,0,7,4,2,2,8,0,0,1.5518101677298546
maritime_off,142,2,0,3,5,3,0,0,0,0,1.4355238741263747
maritime_on,142,2,0,6,6,5,0,4,0,0,1.8819751255214214
maritime_off,143,3,0,6,10,0,3,1,0,0,1.589641791768372
maritime_on,143,3,1,10,9,0,4,3,1,0,1.6277037495747209
maritime_off,144,0,0,6,3,1,2,5,0,0,1.6120216250419617
maritime_on,144,0,1,10,6,1,4,5,0,0,2.2326760413125157
maritime_off,145,1,0,5,3,2,1,4,0,0,1.3267611246556044
maritime_on,145,1,0,9,6,1,3,5,0,0,2.530389000661671
maritime_off,146,2,1,10,8,4,1,5,1,0,1.3800457082688808
maritime_on,146,2,1,10,12,5,1,1,1,0,1.9009044170379639
maritime_off,147,3,0,8,4,0,3,5,0,0,1.9590184576809406
maritime_on,147,3,0,8,5,1,3,6,0,0,1.847582457587123
maritime_off,148,0,1,10,7,1,4,2,0,0,1.1975434590131044
maritime_on,148,0,1,10,8,2,3,4,0,0,1.795020792633295
maritime_off,149,1,0,2,2,2,0,1,0,0,1.0885867923498154
maritime_on,149,1,0,4,3,3,0,5,0,0,2.019597416743636
maritime_off,150,2,0,7,14,5,0,0,1,0,2.535766791552305
maritime_on,150,2,0,9,10,5,1,3,0,0,3.503976791165769
maritime_off,151,3,0,5,5,3,0,3,0,0,2.583588625304401
maritime_on,151,3,0,4,7,4,0,2,0,0,1.6986152091994882
maritime_off,152,0,0,8,3,0,3,7,0,0,2.824995666742325
maritime_on,152,0,0,9,7,1,4,6,0,0,1.6026603747159243
maritime_off,153,1,0,6,9,5,0,2,0,0,1.6085076248273253
maritime_on,153,1,0,8,10,5,0,8,0,0,2.42304087523371
maritime_off,154,2,0,4,7,4,0,0,0,0,1.5876839580014348
maritime_on,154,2,0,5,13,5,0,0,0,0,2.317171750590205
maritime_off,155,3,0,9,15,5,1,1,1,0,3.0425981674343348
maritime_on,155,3,1,10,14,5,1,4,1,0,2.1194719579070807
maritime_off,156,0,0,8,11,4,1,2,1,0,1.8643106250092387
maritime_on,156,0,0,6,9,4,1,8,0,0,1.8424984999001026
maritime_off,157,1,0,6,3,0,3,2,0,0,1.8557404996827245
maritime_on,157,1,0,7,7,1,3,2,0,0,1.8506714580580592
maritime_off,158,2,0,4,8,2,1,1,0,0,1.5514090424403548
maritime_on,158,2,1,10,10,3,3,3,0,0,1.8296671248972416
maritime_off,159,3,0,7,5,2,2,4,0,0,1.3214235417544842
maritime_on,159,3,0,8,6,3,2,5,0,0,1.4401838751509786
maritime_off,160,0,1,10,6,2,3,3,0,0,1.406748291105032
