variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
road_building_off,94,2,0,9,12,4,1,3,1,0,2.8818265832960606
road_building_on,94,2,0,9,12,4,1,3,1,0,2.8867896674200892
road_building_off,95,3,1,10,15,4,2,6,0,0,2.713636625558138
road_building_on,95,3,1,10,15,4,2,6,0,0,2.9607030833140016
road_building_off,96,0,0,8,9,2,2,4,0,0,1.7032056245952845
road_building_on,96,0,0,8,9,2,2,4,0,0,1.6750255823135376
road_building_off,97,1,0,8,9,4,2,1,0,0,2.2126574590802193
road_building_on,97,1,0,6,8,4,1,1,0,0,2.1954350406304
road_building_off,98,2,1,10,15,4,2,0,1,0,3.0292281676083803
road_building_on,98,2,1,10,15,4,2,0,1,0,2.94051400013268
road_building_off,99,3,0,7,14,5,0,5,1,0,2.821271250024438
road_building_on,99,3,0,7,14,5,0,5,1,0,2.807113458402455
road_building_off,100,0,0,9,5,1,3,7,0,0,1.9631209997460246
road_building_on,100,0,0,9,5,1,3,7,0,0,1.9023139169439673
road_building_off,101,1,1,10,12,0,4,3,1,0,2.301656291820109
road_building_on,101,1,1,10,12,0,4,3,1,0,2.2107481667771935
road_building_off,102,2,1,10,10,3,2,3,1,0,2.095362917520106
road_building_on,102,2,1,10,10,3,2,3,1,0,2.120610457845032
road_building_off,103,3,1,10,15,5,1,7,1,0,3.563550832681358
road_building_on,103,3,1,10,15,5,1,7,1,0,3.6063324995338917
road_building_off,104,0,0,8,7,3,2,4,0,0,2.2360327504575253
road_building_on,104,0,0,8,7,3,2,4,0,0,2.1069907089695334
road_building_off,105,1,0,8,9,4,2,5,0,0,2.3759615002200007
road_building_on,105,1,0,8,9,4,2,5,0,0,2.3685050420463085
road_building_off,106,2,1,10,8,1,4,2,0,0,1.8078765831887722
road_building_on,106,2,1,10,8,1,4,2,0,0,1.8056127494201064
road_building_off,107,3,1,10,8,4,2,4,0,0,1.4244252499192953
road_building_on,107,3,1,10,13,5,1,6,1,0,2.2387919165194035
road_building_off,108,0,1,10,9,1,4,1,0,0,2.064105000346899
road_building_on,108,0,1,10,10,4,2,7,0,0,2.5651695420965552
road_building_off,109,1,0,9,8,3,2,5,0,0,2.4013141663745046
road_building_on,109,1,0,9,8,3,2,5,0,0,2.4026995822787285
road_building_off,110,2,1,10,11,3,3,4,0,0,1.8903082925826311
road_building_on,110,2,1,10,10,2,3,3,0,0,1.7768770419061184
road_building_off,111,3,1,10,11,4,3,1,0,0,2.311337750405073
road_building_on,111,3,1,10,11,4,3,1,0,0,2.2322724582627416
road_building_off,112,0,0,7,9,5,1,2,0,0,2.0490518752485514
road_building_on,112,0,0,7,9,5,1,2,0,0,1.9858826249837875
road_building_off,113,1,1,10,9,5,1,1,1,0,1.354903125204146
road_building_on,113,1,1,10,9,5,1,1,1,0,1.965649583376944
