seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
114,2,0,0,0,8,8,0,10,10,0,5,5,0,0,0,0,4,4,0,1,1,0,0,0,0,1.7366563323885202,1.6937881661579013,-0.042868166230618954
115,3,1,1,0,10,10,0,10,10,0,3,3,0,3,3,0,4,4,0,0,0,0,0,0,0,2.537363917566836,2.4447163343429565,-0.09264758322387934
116,0,0,0,0,8,8,0,11,11,0,4,4,0,1,1,0,7,7,0,0,0,0,0,0,0,2.277653666213155,2.2636870415881276,-0.01396662462502718
117,1,0,0,0,9,9,0,14,14,0,4,4,0,2,2,0,6,6,0,0,0,0,0,0,0,3.211751291528344,3.234768332913518,0.023017041385173798
118,2,0,0,0,9,9,0,12,12,0,4,4,0,1,1,0,3,3,0,1,1,0,0,0,0,2.2748704170808196,2.3175636250525713,0.04269320797175169
119,3,0,0,0,9,9,0,13,13,0,4,4,0,1,1,0,6,6,0,1,1,0,0,0,0,2.399397167377174,2.30210645776242,-0.09729070961475372
120,0,0,0,0,6,8,2,8,8,0,2,2,0,2,3,1,6,5,-1,0,0,0,0,0,0,1.8240348752588034,4.570435707457364,2.7464008321985602
121,1,1,1,0,10,10,0,10,10,0,3,3,0,3,3,0,2,2,0,0,0,0,0,0,0,2.05854654032737,2.0763628743588924,0.017816334031522274
122,2,1,1,0,10,10,0,12,12,0,5,5,0,1,1,0,4,4,0,1,1,0,0,0,0,2.367318917065859,2.3622087091207504,-0.005110207945108414
123,3,0,0,0,9,9,0,11,11,0,5,5,0,0,0,0,6,6,0,1,1,0,0,0,0,2.337314458563924,2.7834609169512987,0.4461464583873749
124,0,1,1,0,10,10,0,6,6,0,2,2,0,3,3,0,8,8,0,0,0,0,0,0,0,2.725008958019316,2.7347792079672217,0.00977024994790554
125,1,1,1,0,10,10,0,14,14,0,5,5,0,1,1,0,4,4,0,1,1,0,0,0,0,2.412324083968997,2.4415382081642747,0.02921412419527769
126,2,0,0,0,6,6,0,11,11,0,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,2.334283374249935,2.2454291246831417,-0.08885424956679344
127,3,0,0,0,5,5,0,11,11,0,5,5,0,0,0,0,3,3,0,0,0,0,0,0,0,2.50844016764313,2.4563784999772906,-0.052061667665839195
128,0,0,0,0,8,8,0,11,11,0,4,4,0,2,2,0,7,7,0,0,0,0,0,0,0,2.3806501673534513,2.381834000349045,0.0011838329955935478
129,1,0,0,0,9,9,0,9,9,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,2.3292342079803348,2.3069336246699095,-0.02230058331042528
130,2,1,1,0,10,10,0,9,9,0,3,3,0,2,2,0,7,7,0,1,1,0,0,0,0,2.2873943746089935,2.293434042483568,0.006039667874574661
131,3,1,1,0,10,10,0,9,9,0,5,5,0,2,2,0,7,7,0,0,0,0,0,0,0,2.3086722502484918,2.291852083057165,-0.016820167191326618
132,0,1,1,0,10,10,0,10,11,1,4,5,1,1,1,0,7,7,0,1,1,0,0,0,0,1.8441178752109408,2.462707333266735,0.6185894580557942
133,1,0,0,0,9,9,0,12,12,0,5,5,0,1,1,0,4,4,0,0,0,0,0,0,0,2.4528506249189377,2.3787472089752555,-0.0741034159436822
134,2,1,1,0,10,10,0,13,13,0,3,3,0,2,2,0,3,3,0,1,1,0,0,0,0,1.8694869168102741,1.8588385842740536,-0.01064833253622055
135,3,0,0,0,8,8,0,10,5,-5,3,0,-3,2,3,1,4,8,4,0,0,0,0,0,0,1.9636675408110023,2.2485872078686953,0.284919667057693
