seed_block,game_seed,lineup_index,lineup,rotation,seat,player_id,strategy,winner,game_finished,turns,victory_points,roads,settlements,cities,knights,largest_army,longest_road,dev_vp
0,0,6,full_ows|road_building|roads_and_cities|five_resource,3,2,1,full_ows,0,1,113,9,3,1,1,5,1,0,4
0,0,6,full_ows|road_building|roads_and_cities|five_resource,3,3,2,road_building,0,1,113,3,11,3,0,0,0,0,0
0,0,6,full_ows|road_building|roads_and_cities|five_resource,3,4,3,roads_and_cities,0,1,113,3,11,2,0,0,0,0,1
0,0,7,full_ows|road_building|roads_and_cities|port,0,1,0,full_ows,0,1,103,7,7,1,1,4,1,0,2
0,0,7,full_ows|road_building|roads_and_cities|port,0,2,1,road_building,0,1,103,6,12,2,0,0,0,1,2
0,0,7,full_ows|road_building|roads_and_cities|port,0,3,2,roads_and_cities,1,1,103,10,15,2,4,0,0,0,0
0,0,7,full_ows|road_building|roads_and_cities|port,0,4,3,port,0,1,103,3,9,1,1,0,0,0,0
0,0,7,full_ows|road_building|roads_and_cities|port,1,1,0,road_building,1,1,121,10,12,0,4,0,0,1,0
0,0,7,full_ows|road_building|roads_and_cities|port,1,2,1,roads_and_cities,0,1,121,4,13,0,2,0,0,0,0
0,0,7,full_ows|road_building|roads_and_cities|port,1,3,2,port,0,1,121,6,15,5,0,0,0,0,1
0,0,7,full_ows|road_building|roads_and_cities|port,1,4,3,full_ows,0,1,121,8,6,1,1,5,1,0,3
0,0,7,full_ows|road_building|roads_and_cities|port,2,1,0,roads_and_cities,0,1,106,6,15,0,3,0,0,0,0
0,0,7,full_ows|road_building|roads_and_cities|port,2,2,1,port,1,1,106,11,15,3,2,0,0,1,2
0,0,7,full_ows|road_building|roads_and_cities|port,2,3,2,full_ows,0,1,106,9,2,0,2,4,1,0,3
0,0,7,full_ows|road_building|roads_and_cities|port,2,4,3,road_building,0,1,106,5,12,5,0,0,0,0,0
0,0,7,full_ows|road_building|roads_and_cities|port,3,1,0,port,1,1,85,10,15,0,4,0,0,1,0
0,0,7,full_ows|road_building|roads_and_cities|port,3,2,1,full_ows,0,1,85,6,3,2,0,3,1,0,2
0,0,7,full_ows|road_building|roads_and_cities|port,3,3,2,road_building,0,1,85,2,12,2,0,0,0,0,0
0,0,7,full_ows|road_building|roads_and_cities|port,3,4,3,roads_and_cities,0,1,85,4,12,2,0,0,0,0,2
0,0,8,full_ows|road_building|five_resource|port,0,1,0,full_ows,0,1,136,7,8,2,0,8,1,0,3
0,0,8,full_ows|road_building|five_resource|port,0,2,1,road_building,0,1,136,8,15,3,2,0,0,0,1
0,0,8,full_ows|road_building|five_resource|port,0,3,2,five_resource,0,1,136,5,15,4,0,0,0,0,1
0,0,8,full_ows|road_building|five_resource|port,0,4,3,port,1,1,136,10,15,2,3,0,0,1,0
0,0,8,full_ows|road_building|five_resource|port,1,1,0,road_building,0,1,123,3,15,2,0,0,0,0,1
0,0,8,full_ows|road_building|five_resource|port,1,2,1,five_resource,0,1,123,4,14,3,0,0,0,0,1
0,0,8,full_ows|road_building|five_resource|port,1,3,2,port,1,1,123,10,15,0,3,0,0,1,2
0,0,8,full_ows|road_building|five_resource|port,1,4,3,full_ows,0,1,123,7,7,0,2,7,1,0,1
0,0,8,full_ows|road_building|five_resource|port,2,1,0,five_resource,1,1,81,10,14,0,4,0,0,1,0
